1321	eng	They are too busy fighting against each other to care for common ideals.
1507	eng	"What's the matter?" asked the little white rabbit.
1553	eng	Oh, my white pants! And they were new.
2111	eng	She was wearing a black hat.
2462	eng	In a town you may pass unnoticed, whereas in a village it's impossible.
4348	fra	Dans une ville on peut passer inaperçu, alors que dans un village c'est impossible.
7669	fra	Mon village a deux supermarchés.
8271	fra	L'an dernier je suis retourné à la maison, et j'ai été surpris de voir que le village et les habitants avaient complètement changés.
9289	fra	Pendant les vacances ma sœur et moi sommes restées dans un petit village au pied du mont Fuji.
15046	fra	Je suis arrivé au village avant qu'il ne fasse nuit.
16226	eng	You are as white as a sheet.
16551	eng	Did you buy it on the black market?
17729	eng	Didn't they teach you common sense as well as typing at the school where you studied?
18500	eng	Love of money is common to all men.
18501	eng	I think the love of money is common to us all.
19257	eng	Two different parties with common interests were on the warpath when he cut in to settle the dispute.
19440	eng	The village which I visited last summer was a small one in Nagano Prefecture.
19783	eng	During the vacation my sister and I stayed at a small village at the foot of Mt. Fuji.
19858	eng	You see a white building at the foot of the hill.
20876	eng	It's a common mistake.
21411	eng	I asked the student what image he had of black people.
21468	eng	Learning is one thing, and common sense another.
21995	eng	It was pitch black outside.
23228	eng	We often associate black with death.
24254	eng	We have two dogs. One is black and the other is white.
24356	eng	My summer school dress is blue and white checkered.
24386	eng	In the long summer days she sat in the sun and watched the trees cover themselves with leaves, and the white daisies cover the hill.
24516	eng	Let no one appropriate a common benefit.
25372	eng	Simply follow the instructions below, and in no time you will be printing full color documents just as easily and quickly as black and white.
25412	eng	Music is a common speech for humanity.
25799	eng	In the distance there stood a dimly white lighthouse.
26274	eng	English has now become the common language of several nations in the world.
27010	eng	A crow is as black as coal.
27072	eng	Turning to the right, you will see a white tower.
27349	eng	Does he have general common sense?
27841	eng	He is the black sheep of the family.
27985	eng	The doctor was in a white gown over a blue suit.
28094	eng	The doctors wore white masks over their mouths and noses.
28169	eng	Years of resistance to misfortune ended when the settlers' village was overcome by the savages and their hopes and lives came to the bitter end.
28293	eng	Great scholar as he is, he is lacking in common sense.
28443	eng	I reached the village before dark.
28596	eng	It is a white lie.
29452	eng	Rosa Parks was arrested, and the black community of Montgomery was shocked and angry.
29767	eng	The communication of news by TV and radio is very common now.
31455	eng	Another storm, and our village would have been ruined.
32024	eng	Mary is in want of common sense.
32036	eng	Mary was wearing a black sweater when I met her.
32984	eng	Martin Luther King, Jr. persuaded the black citizens to protest peacefully.
32986	eng	Martin Luther King, Jr., was the son of a black minister.
33136	eng	Here, I got us a bottle of white wine.
33486	eng	As a boy I used to lie on my back on the grass and look at the white clouds.
33890	eng	What is the common language in Peru?
34184	eng	The French flag is blue, white and red.
34190	eng	Franklin was known for his common sense.
34348	eng	There is no cure for the common cold.
36243	eng	It is true he is a learned man, but he lacks common sense.
37146	eng	Tom keeps a black cat.
37330	eng	Two high school boys beat Tom black and blue.
